StudentID,Age,Gender,City,Phone Number
101,17,M,Delhi,9876543210
102,16,F,Mumbai,8765432109
103,18,M,Kolkata,7654321098
104,15,F,Chennai,6543210987
105,16,M,Bengaluru,5432109876
106,18,F,Hyderabad,4321098765
107,15,M,Pune,3210987654
108,17,F,Jaipur,2109876543
109,16,M,Ahmedabad,1098765432
110,18,F,Lucknow,1987654321
111,15,M,Patna,2876543210
112,17,F,Bhopal,3765432109
113,16,M,Surat,4654321098
114,18,F,Kanpur,5543210987
115,15,M,Nagpur,6432109876
116,16,F,Indore,7321098765
117,18,M,Varanasi,8210987654
118,15,F,Ludhiana,9109876543
119,16,M,Agra,9987654321
120,17,F,Chandigarh,8876543210
